Causes of Crashes,Fatal2020,Serious2020,Minor2020,Total2020,Fatal2019,Serious2019,Minor2019,Total2019,Fatal 2018,Serious2018,Minor 2018,Total2018,Fatal2017,Serious2017,Minor2017,Total2017,Fatal2016,Serious2016,Minor2016,Total2016,Fatal2015,Serious2015,Minor2015,Total2015,Fatal2014,Serious2014,Minor2014,Total2014,Fatal2013,Serious2013,Minor2013,Total2013,Fatal2012,Serious2012,Minor2012,Total2012,Total2011
Careless Driving,1081,2611,1666,5358,835,2587,1740,5162,830,2698,2013,5541,720,2951,2027,5698,710,3245,2612,6567,711,4032,3305,8048,640,4295,3773,8708,484,3753,3664,7901,474,3670,4550,8694,8659
Reckless Driving,1303,2031,1094,4428,1770,2240,1076,5086,1613,2213,902,4728,1529,2338,794,4661,1544,2606,990,5140,1480,2991,1143,5614,1439,2935,1296,5670,1252,3045,1205,5502,1174,3185,1472,5831,6514
Careless Pedestrian,201,464,73,738,361,489,275,1125,305,473,201,979,211,320,121,652,254,485,194,933,247,470,168,885,222,415,178,815,222,557,316,1095,15,87,114,216,1141
DMC,124,221,121,466,111,160,108,379,100,154,98,352,69,174,232,475,,,,,75,221,194,490,60,195,193,448,60,165,197,422,62,180,203,445,648
Other Causes,231,128,68,427,,,,,,,,,,,,,,,,,37,103,87,227,45,129,92,266,40,100,84,224,99,264,268,631,1013
Over Speeding,146,155,58,359,102,158,62,322,88,162,64,314,138,198,125,461,94,280,214,589,115,441,398,954,99,338,240,677,75,269,148,492,67,153,88,308,867
Unknown Cause,90,67,34,191,113,213,112,438,150,231,102,483,196,230,131,557,255,272,174,700,625,960,1396,2981,703,990,1292,2985,585,1008,1302,2895,621,1108,1242,2971,1818
Passenger Falls from Vehicle,49,47,12,108,43,33,13,89,51,40,27,118,104,154,132,390,69,100,40,209,80,85,19,184,64,100,54,218,73,137,86,296,82,112,76,270,501
Under Influence of Alcohol,12,22,14,48,28,60,40,128,25,50,36,111,44,99,91,234,24,96,81,200,23,121,94,238,28,132,150,310,18,87,103,208,15,87,114,216,299
Over Loading,16,17,13,46,10,18,9,37,17,28,58,103,30,70,61,161,5,15,10,31,9,29,20,58,10,17,58,85,5,38,35,78,5,13,11,29,113
Dangerous Loading,12,25,4,41,18,19,13,50,10,29,13,52,31,68,63,162,6,35,15,56,16,59,42,117,13,43,38,94,7,39,47,93,9,20,53,82,
Dazzled by Lights,4,9,,20,15,14,9,38,5,7,11,23,26,58,66,150,21,18,10,48,11,22,11,44,3,14,11,28,9,10,6,25,8,19,19,46,152
Obstacle on Carriage Way,,6,13,19,1,1,2,4,,,1,1,22,44,52,118,,1,,1,,4,2,6,,1,2,3,,2,1,3,3,12,44,59,266
Total,3269,5803,3177,12249,3407,5992,3459,12858,3194,6085,3526,12805,3120,6704,3895,13719,2981,7153,4340,14474,3429,9538,6879,19846,3326,9604,7377,20307,2830,9210,7194,19234,2835,9331,8495,20661,22272
